with open("data/logs.csv", "a") as arquivo:
    arquivo.write(f"{agora},{cpu},{ram}\n")
2026-01-02 18:22:13.150431,0.0,90.9
2026-01-02 18:22:18.155371,15.5,86.6
2026-01-02 18:22:23.157683,7.4,86.6
2026-01-02 18:22:43.358960,0.0,85.3
2026-01-02 18:22:48.361028,7.4,85.1
2026-01-02 18:22:53.362955,2.6,84.1
2026-01-02 18:22:58.364641,9.0,83.7
2026-01-02 18:23:03.366679,7.7,83.8
2026-01-02 18:23:08.368576,8.3,83.8
2026-01-03 15:00:55.544122,0.0,82.3
2026-01-03 15:01:00.547890,17.3,82.7
2026-01-03 15:01:05.554655,79.0,89.1
2026-01-03 15:01:10.563762,81.7,88.7
2026-01-03 15:01:15.567952,57.7,90.9
2026-01-03 15:01:20.592479,96.5,91.6
2026-01-03 15:01:25.653631,100.0,92.5
2026-01-03 15:01:30.659644,98.3,90.3
2026-01-03 15:01:35.663262,90.0,82.2
2026-01-03 15:01:40.668763,87.1,84.4
2026-01-03 15:01:45.677337,80.4,86.5
2026-01-03 15:01:50.753961,60.7,87.3
2026-01-03 15:01:55.773836,81.8,82.8
2026-01-03 15:02:00.776180,23.3,83.0
2026-01-03 15:02:05.778352,22.6,80.8
2026-01-03 15:02:10.780457,22.9,81.7
2026-01-03 15:02:15.782527,30.8,82.3
2026-01-03 15:02:20.784953,34.8,78.8
2026-01-03 15:02:25.786725,29.9,78.2
2026-01-03 15:02:30.788768,14.9,78.8
2026-01-03 15:02:35.791508,14.2,78.4
2026-01-03 15:04:42.240936,0.0,83.2
2026-01-03 15:04:47.257663,48.8,86.9
2026-01-03 15:04:52.263942,47.9,82.7
2026-01-03 15:04:57.266955,59.0,82.3
2026-01-03 15:05:02.270619,36.0,82.1
2026-01-03 15:05:07.272774,46.2,82.7
2026-01-03 15:05:12.280563,83.8,85.3
2026-01-03 15:05:17.315212,98.0,87.5
2026-01-03 15:05:22.322625,86.3,89.7
2026-01-03 15:05:27.327184,97.5,90.8
2026-01-03 15:05:32.330067,95.2,80.4
2026-01-03 15:05:37.333503,23.8,79.0
2026-01-03 15:05:42.337545,7.7,81.6
2026-01-03 15:05:47.339485,9.6,80.5
2026-01-03 15:05:52.341477,28.3,83.1
2026-01-03 15:05:57.343130,16.6,83.1
2026-01-03 15:06:02.345201,24.2,81.0
2026-01-03 15:06:07.347740,15.3,80.1
2026-01-03 16:29:53.770842,0.0,83.8
2026-01-03 16:30:00.438251,37.5,83.8
2026-01-03 16:30:05.439963,21.1,84.3
2026-01-03 16:30:10.441556,10.9,83.3
2026-01-03 16:30:15.443157,15.0,84.5
2026-01-03 16:30:20.444911,12.8,84.5
2026-01-03 16:30:22.083838,0.0,84.4
2026-01-03 16:30:27.085771,17.0,84.8
2026-01-03 16:30:32.087710,14.0,84.8
2026-01-03 16:30:37.089547,20.4,84.9
2026-01-03 16:30:42.092022,85.5,87.5
2026-01-03 16:30:47.095115,71.4,86.2
2026-01-03 16:30:52.097349,44.8,86.2
2026-01-03 16:30:58.481112,50.7,86.9
2026-01-03 16:31:05.494944,71.8,89.1
2026-01-03 16:31:14.906224,99.0,91.3
2026-01-03 16:31:24.704923,100.0,91.3
2026-01-03 16:31:31.769732,100.0,89.4
2026-01-03 16:31:40.660277,99.0,89.3
2026-01-03 16:31:49.044144,100.0,89.6
2026-01-03 16:31:59.650801,92.7,84.9
2026-01-03 16:32:06.213543,32.9,85.3
2026-01-03 16:33:20.642967,0.0,81.8
2026-01-03 16:35:40.481873,66.7,85.0
2026-01-03 16:35:45.483874,15.8,80.6
2026-01-03 16:35:50.485690,5.7,80.5
2026-01-03 16:35:56.874717,22.7,80.4
2026-01-03 16:36:05.581575,77.1,85.7
2026-01-03 16:36:11.889752,10.8,85.3
2026-01-03 16:36:18.203585,21.2,84.4
2026-01-03 16:36:24.609675,23.7,85.6
2026-01-03 16:43:09.416500,0.0,85.7
2026-01-03 16:43:14.418618,11.9,85.8
2026-01-03 16:43:19.420950,12.1,85.3
2026-01-03 16:43:25.896822,14.1,84.6
2026-01-03 16:43:32.231017,5.8,83.3
2026-01-03 16:45:27.974679,0.0,87.6
2026-01-03 16:45:32.977109,11.2,87.3
2026-01-03 16:45:37.978971,7.8,86.2
2026-01-03 16:45:44.328193,10.3,86.0
2026-01-03 16:45:50.609909,32.3,82.7
2026-01-03 16:45:57.843837,51.7,67.1
2026-01-03 16:46:04.025878,8.3,68.0
2026-01-03 16:46:10.202617,15.6,68.3
2026-01-03 16:46:15.204741,10.4,68.3
